iter	Passed	Remaining
0	7	7335
1	13	6884
2	19	6576
3	26	6511
4	34	6853
5	41	6824
6	48	6915
7	55	6912
8	63	6957
9	69	6922
10	77	6965
11	84	6944
12	91	6945
13	100	7057
14	106	6998
15	115	7104
16	125	7237
17	134	7323
18	145	7531
19	152	7477
20	160	7481
21	167	7450
22	176	7478
23	183	7442
24	190	7421
25	198	7450
26	207	7481
27	214	7458
28	223	7485
29	230	7459
30	237	7418
31	245	7431
32	252	7405
33	261	7432
34	268	7394
35	277	7423
36	283	7370
37	291	7378
38	299	7380
39	308	7397
40	315	7373
41	324	7396
42	331	7372
43	343	7456
44	350	7439
45	359	7454
46	366	7424
47	373	7415
48	381	7405
49	390	7414
50	398	7413
51	406	7405
52	414	7412
53	424	7435
54	431	7415
55	439	7402
56	447	7404
57	455	7396
58	462	7376
59	471	7380
60	477	7353
61	486	7359
62	493	7346
63	501	7341
64	509	7334
65	517	7329
66	523	7296
67	532	7304
68	539	7285
69	547	7271
70	555	7271
71	563	7268
72	571	7262
73	582	7283
74	589	7276
75	600	7303
76	610	7318
77	618	7308
78	626	7305
79	634	7300
80	642	7293
81	651	7296
82	660	7296
83	668	7290
84	677	7297
85	685	7287
86	695	7295
87	703	7292
88	713	7302
89	722	7303
90	730	7300
91	739	7299
92	749	7307
93	759	7316
94	768	7316
95	778	7328
96	787	7332
97	797	7335
98	806	7340
99	816	7347
100	826	7352
101	834	7347
102	844	7354
103	853	7353
104	863	7363
105	874	7376
106	884	7383
107	894	7388
108	904	7394
109	913	7394
110	924	7400
111	933	7404
112	944	7416
113	953	7414
114	964	7420
115	974	7423
116	986	7446
117	996	7447
118	1006	7451
119	1016	7453
120	1025	7451
121	1036	7460
122	1045	7456
123	1056	7464
124	1067	7474
125	1077	7471
126	1086	7469
127	1096	7471
128	1106	7473
129	1120	7497
130	1131	7504
131	1142	7515
132	1153	7520
133	1164	7523
134	1175	7534
135	1186	7536
136	1197	7544
137	1206	7539
138	1217	7540
139	1229	7552
140	1238	7544
141	1248	7543
142	1260	7551
143	1268	7542
144	1282	7562
